MatchID,Player1,Player2,Year
1,Novak Djokovic,Ricardas Berankis,2013
2,Benjamin Becker,Lukas Rosol,2013
3,Jarkko Nieminen,Lukasz Kubot,2013
4,Joao Sousa,Grigor Dimitrov,2013
5,Alex Bogomolov Jr,Benoit Paire,2013
6,Tim Smyczek,James Duckworth,2013
7,Marcel Granollers,Jurgen Zopp,2013
8,Rajeev Ram,Fabio Fognini,2013
9,Tommy Haas,Paul Henri Mathieu,2013
10,Yen Hsun Lu,Daniel Gimeno Traver,2013
11,Alexandr Dolgopolov,David Goffin,2013
12,Mikhail Youzhny,Nicolas Mahut,2013
13,Evgeny Donskoy,Jurgen Melzer,2013
14,Peter Gojowczyk,Igor Sijsling,2013
15,Lleyton Hewitt,Brian Baker,2013
16,Juan Martin Del Potro,Guillermo Garcia Lopez,2013
17,Andy Murray,Michael Llodra,2013
18,Leonardo Mayer,Victor Hanescu,2013
19,Donald Young,Martin Klizan,2013
20,Florian Mayer,Juan Monaco,2013
21,Andreas Seppi,Xavier Malisse,2013
22,Somdev Devvarman,Lukas Lacko,2013
23,Tobias Kamke,Steve Johnson,2013
24,Denis Istomin,Nicolas Almagro,2013
25,Stan Wawrinka,Radek Stepanek,2013
26,Ivo Karlovic,James Blake,2013
27,Marcos Baghdatis,Go Soeda,2013
28,Kevin Anderson,Daniel Brands,2013
29,Julien Benneteau,Michal Przysiezny,2013
30,Jeremy Chardy,Sergiy Stakjovsky,2013
31,Denis Kudia,Jiri Vesely,2013
32,Tomas Berdych,Paolo Lorenzi,2013
33,Richard Gasquet,Michael Russell,2013
34,Stephane Robert,Albano Olivetti,2013
35,Guillaume Rufin,Jan Lennard Struff,2013
36,Dmitry Tursunov,Aljaz Bedene,2013
37,Feliciano Lopez,Florent Serra,2013
38,Bradley Klahn,Kenny De Schepper,2013
39,Pablo Andujar,Thiemo De Bakker,2013
40,Milos Raonic,Thomas Fabbiano,2013
41,Maximo Gonzalez,Jerzy Janowicz,2013
42,Jack Sock,Philipp Petzschner,2013
43,Dudi Sela,Andrey Kuznetsov,2013
44,Janko Tipsarevic,Pablo Cuevas,2013
45,Andreas Haider Maurer,Ernests Gulbis,2013
46,Mikhail Kukushkin,Andrej Martin,2013
47,Roberto Bautista Agut,Thomaz Bellucci,2013
48,David Ferrer,Nick Kyrgios,2013
49,Roger Federer,Grega Zemlja,2013
50,Carlos Berlocq,Santiago Giraldo,2013
51,Adrian Mannarino,Horacio Zeballos,2013
52,Sam Querrey,Guido Pella,2013
53,Tommy Robredo,Marinko Matosevic,2013
54,Frank Dancevic,Robin Haase,2013
55,Bernard Tomic,Albert Ramos,2013
56,Daniel Evans,Kei Nishikori,2013
57,John Isner,Filippo Volandri,2013
58,Gael Monfils,Adrian Ungur,2013
59,Edouard Roger Vasselin,Albert Montanes,2013
60,Philipp Kohlschreiber,Collin Altamirano,2013
61,Ivan Dodig,Fernando Verdasco,2013
62,Nikolay Davydenko,Rhyne Williams,2013
63,Rogerio Dutra Silva,Vasek Pospisil,2013
64,Rafael Nadal,Ryan Harrison,2013
