MatchID,Player1,Player2,Year
1,Rafael Nadal,Dusan Lajovic,2017
2,Taro Daniel,Tommy Paul,2017
3,Yuichi Sugita,Geoffrey Blancaneaux,2017
4,Leonardo Mayer,Richard Gasquet,2017
5,Stefano Travaglia,Fabio Fognini,2017
6,Viktor Troicki,Norbert Gombos,2017
7,Alexandr Dolgopolov,Jan Lennard Struff,2017
8,Tomas Berdych,Ryan Harrison,2017
9,David Goffin,Julien Benneteau,2017
10,Guido Pella,Steve Darcis,2017
11,Donald Young,Maximilian Marterer,2017
12,Gael Monfils,Jeremy Chardy,2017
13,Damir Dzumhur,Pablo Cuevas,2017
14,Cedrik Marcel Stebe,Nicolas Kicker,2017
15,Andrey Rublev,Aljaz Bedene,2017
16,Grigor Dimitrov,Vaclav Safranek,2017
17,Roger Federer,Frances Tiafoe,2017
18,Mikhail Youzhny,Blaz Kavcic,2017
19,Fernando Verdasco,Vasek Pospisil,2017
20,Feliciano Lopez,Andrey Kuznetsov,2017
21,Philipp Kohlschreiber,Tim Smyczek,2017
22,Santiago Giraldo,Vincent Millot,2017
23,Malek Jaziri,Thiago Monteiro,2017
24,John Millman,Nick Kyrgios,2017
25,Roberto Bautista Agut,Andreas Seppi,2017
26,Dustin Brown,Thomaz Bellucci,2017
27,Adrian Menendez Maceiras,Patrick Kypson,2017
28,Juan Martin Del Potro,Henri Laaksonen,2017
29,Adrian Mannarino,Ricardas Berankis,2017
30,Bjorn Fratangelo,Ivo Karlovic,2017
31,Taylor Harry Fritz,Marcos Baghdatis,2017
32,Dominic Thiem,Alex De Minaur,2017
33,Sam Querrey,Gilles Simon,2017
34,Dudi Sela,Christopher Eubanks,2017
35,Radu Albot,Ernesto Escobedo,2017
36,Yen Hsun Lu,Karen Khachanov,2017
37,Mischa Zverev,Thai Son Kwiatkowski,2017
38,Benoit Paire,Lukas Lacko,2017
39,Hyeon Chung,Horacio Zeballos,2017
40,John Isner,Pierre Hugues Herbert,2017
41,Jordan Thompson,Jack Sock,2017
42,Thomas Fabbiano,John Patrick Smith,2017
43,Paolo Lorenzi,Joao Sousa,2017
44,Gilles Muller,Bernard Tomic,2017
45,Kevin Anderson,Jc Aragone,2017
46,Ernests Gulbis,Alessandro Giannessi,2017
47,Borna Coric,Jiri Vesely,2017
48,Alexander Zverev,Darian King,2017
49,Jo Wilfried Tsonga,Marius Copil,2017
50,Denis Shapovalov,Daniil Medvedev,2017
51,Steve Johnson,Nicolas Almagro,2017
52,Kyle Edmund,Robin Haase,2017
53,Albert Ramos,Denis Istomin,2017
54,Nicolas Mahut,Marton Fucsovics,2017
55,Cameron Norrie,Dmitry Tursunov,2017
56,Pablo Carreno Busta,Evan King,2017
57,Lucas Pouille,Ruben Bemelmans,2017
58,Jared Donaldson,Nikoloz Basilashvili,2017
59,Evgeny Donskoy,Andreas Haider Maurer,2017
60,Mikhail Kukushkin,David Ferrer,2017
61,Diego Sebastian Schwartzman,Carlos Berlocq,2017
62,Janko Tipsarevic,Thanasi Kokkinakis,2017
63,Florian Mayer,Rogerio Dutra Silva,2017
64,Marin Cilic,Tennys Sandgren,2017
