MatchID,Player1,Player2,Year
1,Novak Djokovic,Roberto Carballes Baena,2019
2,Juan Ignacio Londero,Sam Querrey,2019
3,Denis Kudla,Janko Tipsarevic,2019
4,Dusan Lajovic,Steve Darcis,2019
5,Stan Wawrinka,Jannik Sinner,2019
6,Jeremy Chardy,Hubert Hurkacz,2019
7,Miomir Kecmanovic,Laslo Djere,2019
8,Paolo Lorenzi,Zachary Svajda,2019
9,Reilly Opelka,Fabio Fognini,2019
10,Dominik Koepfer,Jaume Munar,2019
11,Jenson Brooksby,Tomas Berdych,2019
12,Nikoloz Basilashvili,Marton Fucsovics,2019
13,Feliciano Lopez,Taylor Harry Fritz,2019
14,Yoshihito Nishioka,Marcos Giron,2019
15,Hugo Dellien,Soon Woo Kwon,2019
16,Daniil Medvedev,Prajnesh Gunneswaran,2019
17,Roger Federer,Sumit Nagal,2019
18,Damir Dzumhur,Elliot Benchetrit,2019
19,Daniel Evans,Adrian Mannarino,2019
20,Lucas Pouille,Philipp Kohlschreiber,2019
21,Pablo Carreno Busta,Guido Pella,2019
22,Ricardas Berankis,Jiri Vesely,2019
23,Gregoire Barrere,Cameron Norrie,2019
24,David Goffin,Corentin Moutet,2019
25,Borna Coric,Evgeny Donskoy,2019
26,Grigor Dimitrov,Andreas Seppi,2019
27,Pablo Cuevas,Jack Sock,2019
28,Kamil Majchrzak,Nicolas Jarry,2019
29,Christian Garin,Christopher Eubanks,2019
30,Alex De Minaur,Pierre Hugues Herbert,2019
31,Bradley Klahn,Thiago Monteiro,2019
32,Kei Nishikori,Marco Trungelliti,2019
33,Andrey Rublev,Stefanos Tsitsipas,2019
34,Gilles Simon,Bjorn Fratangelo,2019
35,Antonie Hoang,Leonardo Mayer,2019
36,Nick Kyrgios,Steve Johnson,2019
37,Matteo Berrettini,Richard Gasquet,2019
38,Jordan Thompson,Joao Sousa,2019
39,Alexei Popyrin,Federico Delbonis,2019
40,Mikhail Kukushkin,Roberto Bautista Agut,2019
41,Gael Monfils,Albert Ramos,2019
42,Marius Copil,Ugo Humbert,2019
43,Henri Laaksonen,Marco Cecchinato,2019
44,Denis Shapovalov,Felix Auger Aliassime,2019
45,Pablo Andujar,Kyle Edmund,2019
46,Lorenzo Sonego,Marcel Granollers,2019
47,Alexander Bublik,Santiago Giraldo,2019
48,Thomas Fabbiano,Dominic Thiem,2019
49,Alexander Zverev,Radu Albot,2019
50,Frances Tiafoe,Ivo Karlovic,2019
51,Aljaz Bedene,Jozef Kovalik,2019
52,Benoit Paire,Brayden Schnur,2019
53,Diego Sebastian Schwartzman,Robin Haase,2019
54,Egor Gerasimov,Lloyd George Muirhead Harris,2019
55,Tennys Sandgren,Jo Wilfried Tsonga,2019
56,Vasek Pospisil,Karen Khachanov,2019
57,John Isner,Guillermo Garcia Lopez,2019
58,Jan Lennard Struff,Casper Ruud,2019
59,Cedrik Marcel Stebe,Filip Krajinovic,2019
60,Marin Cilic,Martin Klizan,2019
61,Fernando Verdasco,Tobias Kamke,2019
62,Hyeon Chung,Ernesto Escobedo,2019
63,Thanasi Kokkinakis,Ilya Ivashka,2019
64,Rafael Nadal,John Millman,2019
