MatchID,Player1,Player2,Year
1,Novak Djokovic,Holger Vitus Nodskov Rune,2021
2,Tallon Griekspoor,Jan Lennard Struff,2021
3,Kei Nishikori,Salvatore Caruso,2021
4,Mackenzie Mcdonald,David Goffin,2021
5,Aslan Karatsev,Jaume Munar,2021
6,Jordan Thompson,Gianluca Mager,2021
7,Jenson Brooksby,Mikael Ymer,2021
8,Taylor Harry Fritz,Alex De Minaur,2021
9,Hubert Hurkacz,Egor Gerasimov,2021
10,Andreas Seppi,Marton Fucsovics,2021
11,Denis Kudla,Laslo Djere,2021
12,Oscar Otte,Lorenzo Sonego,2021
13,Vasek Pospisil,Fabio Fognini,2021
14,Ilya Ivashka,Tennys Sandgren,2021
15,Corentin Moutet,Stefano Travaglia,2021
16,Matteo Berrettini,Jeremy Chardy,2021
17,Alexander Zverev,Sam Querrey,2021
18,Albert Ramos,Lucas Pouille,2021
19,Jack Sock,Yoshihito Nishioka,2021
20,Alexander Bublik,Yannick Hanfmann,2021
21,Gael Monfils,Federico Coria,2021
22,Steve Johnson,Maximilian Marterer,2021
23,Zachary Svajda,Marco Cecchinato,2021
24,Jannik Sinner,Max Purcell,2021
25,Maxime Cressy,Pablo Carreno Busta,2021
26,Nikoloz Basilashvili,Sebastian Korda,2021
27,Lorenzo Musetti,Emilio Nava,2021
28,Reilly Opelka,Soon Woo Kwon,2021
29,Lloyd George Muirhead Harris,Karen Khachanov,2021
30,Ernesto Escobedo,Pablo Cuevas,2021
31,Roberto Carballes Baena,Tommy Paul,2021
32,Denis Shapovalov,Federico Delbonis,2021
33,Andrey Rublev,Ivo Karlovic,2021
34,Pedro Martinez Portero,James Duckworth,2021
35,Frances Tiafoe,Christopher Eubanks,2021
36,Guido Pella,Filip Krajinovic,2021
37,Roberto Bautista Agut,Nick Kyrgios,2021
38,Emil Ruusuvuori,Kamil Majchrzak,2021
39,Bernabe Zapata Miralles,Feliciano Lopez,2021
40,Felix Auger Aliassime,Evgeny Donskoy,2021
41,Christian Garin,Norbert Gombos,2021
42,Henri Laaksonen,John Millman,2021
43,Dusan Lajovic,Benoit Paire,2021
44,Peter Gojowczyk,Ugo Humbert,2021
45,Carlos Alcaraz Garfia,Cameron Norrie,2021
46,Arthur Rinderknech,Miomir Kecmanovic,2021
47,Adrian Mannarino,Pierre Hugues Herbert,2021
48,Stefanos Tsitsipas,Andy Murray,2021
49,Casper Ruud,Yuichi Sugita,2021
50,Botic Van De Zandschulp,Carlos Taberner,2021
51,Facundo Bagnis,Taro Daniel,2021
52,Marco Trungelliti,Alejandro Davidovich Fokina,2021
53,Brandon Nakashima,John Isner,2021
54,Alex Molcan,Cem Ilkel,2021
55,Kevin Anderson,Jiri Vesely,2021
56,Diego Sebastian Schwartzman,Ricardas Berankis,2021
57,Grigor Dimitrov,Sam Riffice,2021
58,Alexei Popyrin,Radu Albot,2021
59,Marcos Giron,Antonie Hoang,2021
60,Daniel Evans,Thiago Monteiro,2021
61,Philipp Kohlschreiber,Marin Cilic,2021
62,Pablo Andujar,Mikhail Kukushkin,2021
63,Dominik Koepfer,Quentin Halys,2021
64,Daniil Medvedev,Richard Gasquet,2021
