MatchID,Player1,Player2,Year
1,Daniil Medvedev,Stefan Kozlov,2022
2,Arthur Rinderknech,Quentin Halys,2022
3,Nuno Borges,Ben Shelton,2022
4,Yibing Wu,Nikoloz Basilashvili,2022
5,Nick Kyrgios,Thanasi Kokkinakis,2022
6,Benjamin Bonzi,Ugo Humbert,2022
7,Alejandro Tabilo,Kamil Majchrzak,2022
8,Jeffrey John Wolf,Roberto Bautista Agut,2022
9,Pablo Carreno Busta,Dominic Thiem,2022
10,Alexander Bublik,Hugo Gaston,2022
11,Christian Garin,Jiri Lehecka,2022
12,Alex De Minaur,Filip Krajinovic,2022
13,Karen Khachanov,Denis Kudla,2022
14,Thiago Monteiro,Alex Molcan,2022
15,Jack Draper,Emil Ruusuvuori,2022
16,Felix Auger Aliassime,Alexander Ritschard,2022
17,Daniel Elahi Galan Riveros,Stefanos Tsitsipas,2022
18,Jordan Thompson,Lorenzo Sonego,2022
19,Alejandro Davidovich Fokina,Yoshihito Nishioka,2022
20,Marton Fucsovics,Maxime Cressy,2022
21,Andy Murray,Francisco Cerundolo,2022
22,Emilio Nava,John Millman,2022
23,Hugo Grenier,Tomas Martin Etcheverry,2022
24,Matteo Berrettini,Nicolas Jarry,2022
25,Brandon Holt,Taylor Harry Fritz,2022
26,Pedro Cachin,Aljaz Bedene,2022
27,Corentin Moutet,Stan Wawrinka,2022
28,Botic Van De Zandschulp,Tomas Machac,2022
29,Tommy Paul,Bernabe Zapata Miralles,2022
30,Sebastian Korda,Facundo Bagnis,2022
31,Tim Van Rijthoven,Zhizhen Zhang,2022
32,Casper Ruud,Kyle Edmund,2022
33,Hubert Hurkacz,Oscar Otte,2022
34,Ilya Ivashka,Sam Querrey,2022
35,Gijs Brouwer,Adrian Mannarino,2022
36,Lorenzo Musetti,David Goffin,2022
37,Grigor Dimitrov,Steve Johnson,2022
38,Brandon Nakashima,Pavel Kotov,2022
39,Christopher Eubanks,Pedro Martinez Portero,2022
40,Jannik Sinner,Daniel Altmaier,2022
41,Marin Cilic,Maximilian Marterer,2022
42,Albert Ramos,Norbert Gombos,2022
43,James Duckworth,Christopher Oconnell,2022
44,Daniel Evans,Jiri Vesely,2022
45,Borna Coric,Enzo Couacaud,2022
46,Jenson Brooksby,Dusan Lajovic,2022
47,Federico Coria,Tallon Griekspoor,2022
48,Carlos Alcaraz Garfia,Sebastian Baez,2022
49,Cameron Norrie,Benoit Paire,2022
50,Joao Sousa,Mackenzie Mcdonald,2022
51,John Isner,Federico Delbonis,2022
52,Holger Vitus Nodskov Rune,Peter Gojowczyk,2022
53,Denis Shapovalov,Marc Andrea Huesler,2022
54,Roberto Carballes Baena,Jaume Munar,2022
55,Soon Woo Kwon,Fernando Verdasco,2022
56,Andrey Rublev,Laslo Djere,2022
57,Diego Sebastian Schwartzman,Jack Sock,2022
58,Alexei Popyrin,Chun Hsin Tseng,2022
59,Jason Kubler,Mikael Ymer,2022
60,Frances Tiafoe,Marcos Giron,2022
61,Miomir Kecmanovic,Learner Tien,2022
62,Richard Gasquet,Taro Daniel,2022
63,Fabio Fognini,Aslan Karatsev,2022
64,Rafael Nadal,Rinky Hijikata,2022
