MatchID,Player1,Player2,Year
1,Novak Djokovic,Joao Souza,2015
2,Andreas Haider Maurer,Vasek Pospisil,2015
3,Teymuraz Gabashvili,Pablo Andujar,2015
4,Andreas Seppi,Tommy Paul,2015
5,Roberto Bautista Agut,Pierre Hugues Herbert,2015
6,Pablo Carreno Busta,Jerzy Janowicz,2015
7,Ricardas Berankis,Joao Sousa,2015
8,David Goffin,Simone Bolelli,2015
9,Milos Raonic,Tim Smyczek,2015
10,Fernando Verdasco,Tommy Haas,2015
11,Mardy Fish,Marco Cecchinato,2015
12,Feliciano Lopez,Nikoloz Basilashvili,2015
13,Fabio Fognini,Steve Johnson,2015
14,Pablo Cuevas,Dudi Sela,2015
15,Diego Sebastian Schwartzman,Elias Ymer,2015
16,Rafael Nadal,Borna Coric,2015
17,Benoit Paire,Kei Nishikori,2015
18,Marsel Ilhan,Radek Stepanek,2015
19,Samuel Groth,Alexandr Dolgopolov,2015
20,Tommy Robredo,Michael Berrer,2015
21,Jo Wilfried Tsonga,Jarkko Nieminen,2015
22,Marcel Granollers,Lukas Lacko,2015
23,Sergiy Stakjovsky,John Millman,2015
24,Illya Marchenko,Gael Monfils,2015
25,Marin Cilic,Guido Pella,2015
26,Evgeny Donskoy,Lucas Pouille,2015
27,Mikhail Kukushkin,Yen Hsun Lu,2015
28,Grigor Dimitrov,Matthew Ebden,2015
29,Jeremy Chardy,Ryan Shane,2015
30,Martin Klizan,Florian Mayer,2015
31,Filip Krajinovic,Alejandro Gonzalez,2015
32,David Ferrer,Radu Albot,2015
33,Stan Wawrinka,Albert Ramos,2015
34,Hyeon Chung,James Duckworth,2015
35,Ruben Bemelmans,Gilles Muller,2015
36,Jack Sock,Victor Estrella,2015
37,Viktor Troicki,Frances Tiafoe,2015
38,Rajeev Ram,Ryan Harrison,2015
39,Aljaz Bedene,Ernests Gulbis,2015
40,Donald Young,Gilles Simon,2015
41,Kevin Anderson,Andrey Rublev,2015
42,Austin Krajicek,Santiago Giraldo,2015
43,Denis Istomin,Benjamin Becker,2015
44,Dominic Thiem,Daniel Gimeno Traver,2015
45,Thomaz Bellucci,James Ward,2015
46,Yoshihito Nishioka,Paul Henri Mathieu,2015
47,Adrian Mannarino,Konstantin Kravchuk,2015
48,Andy Murray,Nick Kyrgios,2015
49,Tomas Berdych,Bjorn Fratangelo,2015
50,Jurgen Melzer,Denis Kudla,2015
51,Nicolas Mahut,Sam Querrey,2015
52,Guillermo Garcia Lopez,Janko Tipsarevic,2015
53,Bernard Tomic,Damir Dzumhur,2015
54,Lleyton Hewitt,Aleksandr Nedovyesov,2015
55,Robin Haase,Dustin Brown,2015
56,Richard Gasquet,Thanasi Kokkinakis,2015
57,John Isner,Malek Jaziri,2015
58,Mikhail Youzhny,John Patrick Smith,2015
59,Jiri Vesely,Paolo Lorenzi,2015
60,Ivo Karlovic,Federico Delbonis,2015
61,Philipp Kohlschreiber,Alexander Zverev,2015
62,Lukas Rosol,Jared Donaldson,2015
63,Steve Darcis,Marcos Baghdatis,2015
64,Roger Federer,Leonardo Mayer,2015
