MatchID,Player1,Player2,Year
1,Novak Djokovic,Diego Sebastian Schwartzman,2014
2,Paul Henri Mathieu,Gilles Muller,2014
3,Sam Querrey,Maximo Gonzalez,2014
4,Guillermo Garcia Lopez,Yen Hsun Lu,2014
5,Philipp Kohlschreiber,Facundo Bagnis,2014
6,Michael Llodra,Daniel Gimeno Traver,2014
7,Jan Lennard Struff,Mikhail Kukushkin,2014
8,John Isner,Marcos Giron,2014
9,Jo Wilfried Tsonga,Juan Monaco,2014
10,Aleksandr Nedovyesov,James Mcgee,2014
11,Pablo Carreno Busta,Andreas Beck,2014
12,Benoit Paire,Julien Benneteau,2014
13,Fernando Verdasco,Blaz Rola,2014
14,Andrey Kuznetsov,Bradley Klahn,2014
15,Matthias Bachinger,Radek Stepanek,2014
16,Andy Murray,Robin Haase,2014
17,Stan Wawrinka,Jiri Vesely,2014
18,Thomaz Bellucci,Nicolas Mahut,2014
19,Blaz Kavcic,Donald Young,2014
20,Jeremy Chardy,Alejandro Falla,2014
21,Nick Kyrgios,Mikhail Youzhny,2014
22,Andreas Seppi,Sergiy Stakjovsky,2014
23,Simone Bolelli,Vasek Pospisil,2014
24,Tommy Robredo,Edouard Roger Vasselin,2014
25,Kei Nishikori,Wayne Odesnik,2014
26,Pablo Andujar,Jack Sock,2014
27,Matthew Ebden,Tobias Kamke,2014
28,Leonardo Mayer,Albert Montanes,2014
29,Borna Coric,Lukas Rosol,2014
30,Victor Estrella,Igor Sijsling,2014
31,Peter Gojowczyk,Benjamin Becker,2014
32,Milos Raonic,Taro Daniel,2014
33,Tomas Berdych,Lleyton Hewitt,2014
34,Martin Klizan,Steve Darcis,2014
35,Alexander Kudryavtsev,Evgeny Donskoy,2014
36,Teymuraz Gabashvili,Santiago Giraldo,2014
37,Feliciano Lopez,Ivan Dodig,2014
38,Tatsuma Ito,Steve Johnson,2014
39,Dominic Thiem,Lukas Lacko,2014
40,Ernests Gulbis,Kenny De Schepper,2014
41,Marin Cilic,Marcos Baghdatis,2014
42,Illya Marchenko,Marco Chiudinelli,2014
43,Jerzy Janowicz,Dusan Lajovic,2014
44,Kevin Anderson,Pablo Cuevas,2014
45,Gilles Simon,Radu Albot,2014
46,Federico Delbonis,Noah Rubin,2014
47,Bernard Tomic,Dustin Brown,2014
48,David Ferrer,Damir Dzumhur,2014
49,Grigor Dimitrov,Ryan Harrison,2014
50,Dudi Sela,Carlos Berlocq,2014
51,David Goffin,Niels Desein,2014
52,Joao Sousa,Frank Dancevic,2014
53,Gael Monfils,Jared Donaldson,2014
54,Alejandro Gonzalez,Dmitry Tursunov,2014
55,Paolo Lorenzi,Yoshihito Nishioka,2014
56,Richard Gasquet,Denis Istomin,2014
57,Fabio Fognini,Andrey Golubev,2014
58,Adrian Mannarino,Pere Riba,2014
59,Tim Smyczek,Filip Krajinovic,2014
60,Roberto Bautista Agut,Andreas Haider Maurer,2014
61,Ivo Karlovic,Jarkko Nieminen,2014
62,Marcel Granollers,Jurgen Melzer,2014
63,Samuel Groth,Albert Ramos,2014
64,Roger Federer,Marinko Matosevic,2014
