Year,Player,ServicePointsWon
2021,Soon Woo Kwon,0.6258
2021,Jenson Brooksby,0.6252
2021,Miomir Kecmanovic,0.6244
2021,Dusan Lajovic,0.6231
2021,Albert Ramos,0.6229
2021,Jan Lennard Struff,0.6219
2021,Marco Trungelliti,0.6214
2021,Emil Ruusuvuori,0.62
2021,Richard Gasquet,0.6143
2021,Radu Albot,0.6142
2021,Kamil Majchrzak,0.6139
2021,Diego Sebastian Schwartzman,0.6127
2021,Henri Laaksonen,0.6121
2021,Alex De Minaur,0.6121
2021,Christian Garin,0.6113
2021,Nikoloz Basilashvili,0.6111
2021,Kei Nishikori,0.6109
2021,Andreas Seppi,0.6104
2021,Ernesto Escobedo,0.6091
2021,Quentin Halys,0.6088
2021,Adrian Mannarino,0.6086
2021,Laslo Djere,0.6081
2021,Ricardas Berankis,0.6077
2021,Bernabe Zapata Miralles,0.6074
2021,Lorenzo Musetti,0.6067
2021,David Goffin,0.6056
2021,Egor Gerasimov,0.6051
2021,Lucas Pouille,0.6041
2021,Max Purcell,0.6037
2021,Alex Molcan,0.6033
2021,Mikhail Kukushkin,0.6033
2021,Carlos Taberner,0.6027
2021,Dominik Koepfer,0.6014
2021,Fabio Fognini,0.5992
2021,Alejandro Davidovich Fokina,0.5968
2021,Salvatore Caruso,0.5961
2021,John Millman,0.5958
2021,Pedro Martinez Portero,0.5935
2021,Norbert Gombos,0.5919
2021,Stefano Travaglia,0.5917
2021,Jaume Munar,0.5917
2021,Facundo Bagnis,0.591
2021,Yuichi Sugita,0.588
2021,Tennys Sandgren,0.5871
2021,Benoit Paire,0.5865
2021,Pablo Andujar,0.5858
2021,Cem Ilkel,0.584
2021,Roberto Carballes Baena,0.5832
2021,Emilio Nava,0.5806
2021,Yannick Hanfmann,0.5791
2021,Guido Pella,0.5787
2021,Federico Coria,0.5693
2021,Yoshihito Nishioka,0.5669
2021,Sam Riffice,0.563
2021,Mikael Ymer,0.5616
2021,Antonie Hoang,0.552
2021,Federico Delbonis,0.547
2022,John Isner,0.7346
2022,Nick Kyrgios,0.7085
2022,Hubert Hurkacz,0.6988
2022,Maxime Cressy,0.6969
2022,Stefanos Tsitsipas,0.6938
2022,Ben Shelton,0.6877
2022,Marc Andrea Huesler,0.6852
2022,Felix Auger Aliassime,0.6845
2022,Casper Ruud,0.6808
2022,Daniil Medvedev,0.6806
2022,Andrey Rublev,0.6797
2022,Taylor Harry Fritz,0.6788
2022,Matteo Berrettini,0.6787
2022,Brandon Nakashima,0.6779
2022,Denis Shapovalov,0.6774
2022,Marin Cilic,0.6766
2022,Pablo Carreno Busta,0.6744
2022,Thanasi Kokkinakis,0.6729
2022,Borna Coric,0.6721
2022,Rafael Nadal,0.6711
2022,Jiri Vesely,0.6707
2022,Stan Wawrinka,0.6695
2022,Holger Vitus Nodskov Rune,0.6692
2022,Arthur Rinderknech,0.6665
2022,Grigor Dimitrov,0.6659
2022,Zhizhen Zhang,0.6656
2022,Steve Johnson,0.663
2022,Carlos Alcaraz Garfia,0.6596
2022,Nicolas Jarry,0.6596
2022,Tim Van Rijthoven,0.6586
2022,Lorenzo Sonego,0.6583
2022,Nuno Borges,0.6579
2022,Christopher Eubanks,0.6563
2022,Karen Khachanov,0.6558
2022,Lorenzo Musetti,0.6551
2022,Thiago Monteiro,0.6548
2022,Kamil Majchrzak,0.6545
2022,Roberto Bautista Agut,0.654
2022,Daniel Evans,0.6538
2022,Adrian Mannarino,0.6521
2022,Jannik Sinner,0.6518
2022,Benjamin Bonzi,0.6513
2022,Miomir Kecmanovic,0.6506
2022,Frances Tiafoe,0.648
2022,Gijs Brouwer,0.648
2022,Cameron Norrie,0.6477
2022,Hugo Grenier,0.6477
2022,Emil Ruusuvuori,0.6462
2022,Jack Draper,0.6459
2022,Sam Querrey,0.6426
2022,John Millman,0.642
2022,Tommy Paul,0.6413
2022,Alexander Bublik,0.6389
2022,Richard Gasquet,0.6383
2022,Sebastian Korda,0.6381
2022,Laslo Djere,0.638
2022,Alexei Popyrin,0.6365
2022,Alex De Minaur,0.6358
2022,Dominic Thiem,0.6353
2022,Marcos Giron,0.6353
2022,Jason Kubler,0.6351
2022,Christopher Oconnell,0.6351
2022,James Duckworth,0.6343
2022,Jordan Thompson,0.634
2022,Francisco Cerundolo,0.633
2022,Oscar Otte,0.6326
2022,Enzo Couacaud,0.632
2022,Pedro Cachin,0.6311
2022,Jeffrey John Wolf,0.6304
2022,Andy Murray,0.6296
2022,Mackenzie Mcdonald,0.629
2022,Yibing Wu,0.6282
2022,Botic Van De Zandschulp,0.6276
2022,Tallon Griekspoor,0.6268
2022,Jack Sock,0.6262
2022,Marton Fucsovics,0.6259
2022,Aljaz Bedene,0.6258
2022,Soon Woo Kwon,0.6257
2022,Ilya Ivashka,0.6249
2022,Corentin Moutet,0.6246
2022,Brandon Holt,0.6244
2022,Jenson Brooksby,0.6244
2022,Tomas Machac,0.6241
2022,Norbert Gombos,0.6222
2022,Yoshihito Nishioka,0.6211
2022,Alexander Ritschard,0.621
2022,Fernando Verdasco,0.6198
2022,Mikael Ymer,0.6178
2022,Facundo Bagnis,0.6173
2022,Filip Krajinovic,0.6156
2022,Taro Daniel,0.6142
2022,Alex Molcan,0.614
2022,Quentin Halys,0.6133
2022,Aslan Karatsev,0.6115
2022,Tomas Martin Etcheverry,0.6114
2022,Alejandro Davidovich Fokina,0.6098
2022,Roberto Carballes Baena,0.6082
2022,Ugo Humbert,0.6069
2022,Denis Kudla,0.6067
2022,Alejandro Tabilo,0.6043
2022,Jaume Munar,0.6042
2022,Joao Sousa,0.6032
2022,Albert Ramos,0.6013
2022,Jiri Lehecka,0.5996
2022,Daniel Elahi Galan Riveros,0.5949
2022,Pedro Martinez Portero,0.5918
2022,David Goffin,0.5917
2022,Diego Sebastian Schwartzman,0.5878
2022,Benoit Paire,0.5877
2022,Rinky Hijikata,0.5875
2022,Fabio Fognini,0.587
2022,Daniel Altmaier,0.5856
2022,Dusan Lajovic,0.5812
2022,Maximilian Marterer,0.579
2022,Christian Garin,0.5778
2022,Chun Hsin Tseng,0.5773
2022,Federico Delbonis,0.5771
2022,Stefan Kozlov,0.5758
2022,Bernabe Zapata Miralles,0.5706
2022,Hugo Gaston,0.5688
2022,Pavel Kotov,0.568
2022,Learner Tien,0.568
2022,Emilio Nava,0.5632
2022,Sebastian Baez,0.5607
2022,Peter Gojowczyk,0.5599
2022,Federico Coria,0.5569
2022,Nikoloz Basilashvili,0.5546
2022,Kyle Edmund,0.5527
