MatchID,Player1,Player2,Year
1,Novak Djokovic,Jerzy Janowicz,2016
2,Jiri Vesely,Saketh Myneni,2016
3,Guido Pella,Bjorn Fratangelo,2016
4,Mikhail Youzhny,Martin Klizan,2016
5,John Isner,Frances Tiafoe,2016
6,Steve Darcis,Jordan Thompson,2016
7,Ernesto Escobedo,Lukas Lacko,2016
8,Kyle Edmund,Richard Gasquet,2016
9,Jo Wilfried Tsonga,Guido Andreozzi,2016
10,James Duckworth,Robin Haase,2016
11,Vasek Pospisil,Jozef Kovalik,2016
12,Kevin Anderson,Yoshihito Nishioka,2016
13,Jack Sock,Taylor Harry Fritz,2016
14,Mischa Zverev,Pierre Hugues Herbert,2016
15,Sergiy Stakjovsky,Gastao Elias,2016
16,Marin Cilic,Rogerio Dutra Silva,2016
17,Rafael Nadal,Denis Istomin,2016
18,Andreas Seppi,Stephane Robert,2016
19,Andrey Kuznetsov,Thomaz Bellucci,2016
20,Albert Ramos,Julien Benneteau,2016
21,Lucas Pouille,Mikhail Kukushkin,2016
22,Marco Chiudinelli,Guilherme Clezar,2016
23,Federico Delbonis,Brian Baker,2016
24,Roberto Bautista Agut,Guillermo Garcia Lopez,2016
25,Gael Monfils,Gilles Muller,2016
26,Jan Satral,Mackenzie Mcdonald,2016
27,Nicolas Almagro,Marton Fucsovics,2016
28,Pablo Cuevas,Dudi Sela,2016
29,Benoit Paire,Dusan Lajovic,2016
30,Marcos Baghdatis,Facundo Bagnis,2016
31,Ryan Harrison,Adrian Mannarino,2016
32,Milos Raonic,Dustin Brown,2016
33,Dominic Thiem,John Millman,2016
34,Ricardas Berankis,Malek Jaziri,2016
35,Pablo Carreno Busta,Ilya Ivashka,2016
36,Janko Tipsarevic,Sam Querrey,2016
37,Steve Johnson,Evgeny Donskoy,2016
38,Juan Martin Del Potro,Diego Sebastian Schwartzman,2016
39,Fabio Fognini,Teymuraz Gabashvili,2016
40,David Ferrer,Alexandr Dolgopolov,2016
41,Nick Kyrgios,Aljaz Bedene,2016
42,Horacio Zeballos,Florian Mayer,2016
43,Illya Marchenko,Ivan Dodig,2016
44,Damir Dzumhur,Bernard Tomic,2016
45,Alexander Zverev,Daniel Brands,2016
46,Daniel Evans,Rajeev Ram,2016
47,Alessandro Giannessi,Denis Kudla,2016
48,Stan Wawrinka,Fernando Verdasco,2016
49,Kei Nishikori,Benjamin Becker,2016
50,Karen Khachanov,Thomas Fabbiano,2016
51,Paul Henri Mathieu,Christian Harrison,2016
52,Nicolas Mahut,Philipp Kohlschreiber,2016
53,Ivo Karlovic,Yen Hsun Lu,2016
54,Donald Young,Jan Lennard Struff,2016
55,Viktor Troicki,Radu Albot,2016
56,Jared Donaldson,David Goffin,2016
57,Feliciano Lopez,Borna Coric,2016
58,Joao Sousa,Victor Estrella,2016
59,Jeremy Chardy,Michael Mmoh,2016
60,Grigor Dimitrov,Inigo Cervantes Huegun,2016
61,Gilles Simon,Radek Stepanek,2016
62,Paolo Lorenzi,Carlos Berlocq,2016
63,Marcel Granollers,Juan Monaco,2016
64,Andy Murray,Lukas Rosol,2016
