MatchID,Player1,Player2,Year
1,Rafael Nadal,David Ferrer,2018
2,Vasek Pospisil,Lukas Lacko,2018
3,Lorenzo Sonego,Gilles Muller,2018
4,Karen Khachanov,Albert Ramos,2018
5,Jack Sock,Guido Andreozzi,2018
6,Nikoloz Basilashvili,Aljaz Bedene,2018
7,Guido Pella,Casper Ruud,2018
8,Paolo Lorenzi,Kyle Edmund,2018
9,Dominic Thiem,Mirza Basic,2018
10,Steve Johnson,Denis Istomin,2018
11,Taylor Harry Fritz,Mischa Zverev,2018
12,Jason Kubler,Roberto Bautista Agut,2018
13,Denis Shapovalov,Felix Auger Aliassime,2018
14,Andreas Seppi,Sam Querrey,2018
15,Jeremy Chardy,Andrey Rublev,2018
16,Kevin Anderson,Ryan Harrison,2018
17,Juan Martin Del Potro,Donald Young,2018
18,Denis Kudla,Matteo Berrettini,2018
19,Andy Murray,James Duckworth,2018
20,Fernando Verdasco,Feliciano Lopez,2018
21,Borna Coric,Florian Mayer,2018
22,Roberto Carballes Baena,Mitchell Krueger,2018
23,Daniil Medvedev,Evgeny Donskoy,2018
24,Stefanos Tsitsipas,Tommy Robredo,2018
25,John Isner,Bradley Klahn,2018
26,Nicolas Jarry,Peter Gojowczyk,2018
27,Cameron Norrie,Jordan Thompson,2018
28,Dusan Lajovic,Damir Dzumhur,2018
29,Milos Raonic,Carlos Berlocq,2018
30,Gilles Simon,Lloyd George Muirhead Harris,2018
31,Ugo Humbert,Collin Altamirano,2018
32,Stan Wawrinka,Grigor Dimitrov,2018
33,Marin Cilic,Marius Copil,2018
34,Hubert Hurkacz,Stefano Travaglia,2018
35,Alex De Minaur,Taro Daniel,2018
36,Frances Tiafoe,Adrian Mannarino,2018
37,Julien Benneteau,Marco Cecchinato,2018
38,Jan Lennard Struff,Tim Smyczek,2018
39,Robin Haase,Mackenzie Mcdonald,2018
40,David Goffin,Federico Gaio,2018
41,Diego Sebastian Schwartzman,Federico Delbonis,2018
42,Jaume Munar,Ruben Bemelmans,2018
43,Gael Monfils,Facundo Bagnis,2018
44,Kei Nishikori,Maximilian Marterer,2018
45,Matthew Ebden,Filip Krajinovic,2018
46,Philipp Kohlschreiber,Yannick Hanfmann,2018
47,Nicolas Mahut,Corentin Moutet,2018
48,Alexander Zverev,Peter Polansky,2018
49,Novak Djokovic,Marton Fucsovics,2018
50,Tennys Sandgren,Viktor Troicki,2018
51,Laslo Djere,Leonardo Mayer,2018
52,Richard Gasquet,Yuichi Sugita,2018
53,Lucas Pouille,Yannick Maden,2018
54,Marcos Baghdatis,Mikhail Youzhny,2018
55,Joao Sousa,Marcel Granollers,2018
56,Pablo Carreno Busta,Malek Jaziri,2018
57,Fabio Fognini,Michael Mmoh,2018
58,John Millman,Jenson Brooksby,2018
59,Mikhail Kukushkin,Noah Rubin,2018
60,Hyeon Chung,Ricardas Berankis,2018
61,Nick Kyrgios,Radu Albot,2018
62,Pierre Hugues Herbert,Yuki Bhambri,2018
63,Benoit Paire,Dennis Novak,2018
64,Roger Federer,Yoshihito Nishioka,2018
